x,y,target,kfold
28.441324,-45.09427,7,0
11.5686,-22.557325,2,0
-0.49261183,40.01809,8,0
18.636595,24.639877,4,0
-6.925803,-24.79241,1,0
56.751842,-23.880646,7,0
-44.395416,-3.7455106,3,0
-43.762398,-41.24237,2,0
4.669934,34.536682,6,0
21.784212,50.534035,6,0
42.747944,-43.23754,7,0
-18.06878,65.454414,0,0
27.386717,-12.879575,9,0
17.170588,-24.668825,8,0
58.46199,0.47400728,4,0
47.903946,-27.441223,7,0
15.038384,-2.5324922,2,0
56.83422,-25.746983,7,0
19.756996,16.382137,3,0
52.809494,-35.179016,7,0
-27.19722,-9.095103,8,0
15.895815,38.76223,6,0
46.685635,12.75319,4,0
-40.490253,58.083836,0,0
-24.485281,60.69003,0,0
11.325084,51.92447,6,0
17.18678,-34.37245,2,0
30.947258,-4.177651,9,0
-40.738506,15.879375,3,0
57.520576,-13.777602,9,0
48.69795,-4.085269,4,0
4.0096636,-12.362326,1,0
51.013172,-5.4148903,3,0
2.1050236,-30.935972,1,0
-17.726957,25.471584,5,0
-38.79007,23.266785,3,0
27.015497,-11.093435,9,0
25.111795,-4.248532,4,0
14.760394,45.00279,6,0
-38.587925,56.77874,0,0
-53.19966,-39.495197,2,0
-20.068165,-1.4233211,8,0
-24.765524,24.752878,5,0
20.555494,45.569298,6,0
60.28732,-31.947666,7,0
55.618095,-25.79975,7,0
-42.747948,-39.602585,2,0
27.909513,3.1703677,4,0
-18.410753,25.146004,5,0
32.455143,-7.0819335,7,0
2.192872,-8.5026455,1,0
-21.675257,-33.264492,2,0
39.80732,-38.648693,7,0
62.155792,-34.156105,7,0
39.494556,2.9473412,9,0
55.902573,-19.780396,7,0
-53.943165,-38.25137,2,0
-47.2344,-40.621964,2,0
-32.10072,-34.544537,2,0
-36.86904,18.606564,3,0
39.481403,-45.889027,7,0
66.34224,-32.957626,7,0
46.74712,28.716887,4,0
47.347794,-42.01497,7,0
7.656996,37.404686,6,0
42.679436,31.451775,9,0
58.114765,-0.13696483,4,0
1.5859193,-32.325287,1,0
39.467503,-5.2345243,4,0
12.078565,51.511246,6,0
27.304224,-32.730053,4,0
7.33203,17.497375,5,0
54.272675,-2.7070875,4,0
23.713285,47.893024,6,0
-25.334507,-20.122852,8,0
-10.742262,-45.713287,1,0
-6.0473814,-53.375233,1,0
-40.2382,18.982151,3,0
50.544437,0.5534447,4,0
-31.502054,-43.37999,2,0
-16.957087,19.07735,5,0
-20.332085,-37.319927,2,0
28.514986,12.101582,4,0
1.5091413,51.331867,6,0
12.718307,-7.962203,8,0
-2.9472568,-34.38912,1,0
-33.288006,31.572533,5,0
51.653038,-8.355732,9,0
-42.40824,-1.3275115,3,0
11.918149,48.480133,6,0
27.003492,-9.474073,9,0
33.009384,-30.04227,9,0
-50.916637,4.6444507,3,0
-49.21314,-29.662851,2,0
4.971248,9.978361,5,0
16.155638,-31.424915,7,0
-47.426952,-42.78337,2,0
6.360807,15.340987,5,0
